                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8872,                0.77917,                0.99167,                 1.8826,              0.0002346,              0.0002346,              0.0002346
                      2,                 0.9423,                0.92083,                0.99583,                 1.4985,             0.00046792,             0.00046792,             0.00046792
                      3,                0.42611,                0.91667,                0.99583,                 1.4011,             0.00069653,             0.00069653,             0.00069653
                      4,                0.31507,                0.92083,                      1,                  1.389,             0.00069279,             0.00069279,             0.00069279
                      5,                0.24344,                   0.95,                      1,                 1.3473,             0.00068573,             0.00068573,             0.00068573
                      6,                  0.198,                0.97917,                      1,                  1.319,             0.00067866,             0.00067866,             0.00067866
                      7,                0.17461,                 0.9625,                      1,                 1.3438,             0.00067159,             0.00067159,             0.00067159
                      8,                0.14882,                  0.975,                      1,                 1.3148,             0.00066452,             0.00066452,             0.00066452
                      9,                0.16154,                  0.975,                      1,                  1.313,             0.00065745,             0.00065745,             0.00065745
                     10,                 0.1492,                0.98333,                      1,                 1.2997,             0.00065038,             0.00065038,             0.00065038
                     11,                0.09699,                  0.975,                      1,                 1.3119,             0.00064331,             0.00064331,             0.00064331
                     12,                0.08386,                  0.975,                      1,                 1.3031,             0.00063625,             0.00063625,             0.00063625
                     13,                0.11034,                0.97917,                      1,                 1.3053,             0.00062918,             0.00062918,             0.00062918
                     14,                0.10754,                0.98333,                      1,                 1.3022,             0.00062211,             0.00062211,             0.00062211
                     15,                0.09156,                0.97917,                      1,                 1.2999,             0.00061504,             0.00061504,             0.00061504
                     16,                0.09031,                0.97083,                      1,                 1.3057,             0.00060797,             0.00060797,             0.00060797
                     17,                0.07392,                  0.975,                      1,                 1.3099,              0.0006009,              0.0006009,              0.0006009
                     18,                0.08689,                0.96667,                      1,                 1.3136,             0.00059383,             0.00059383,             0.00059383
                     19,                0.08752,                  0.975,                      1,                 1.3144,             0.00058677,             0.00058677,             0.00058677
                     20,                0.10017,                0.97917,                      1,                 1.3136,              0.0005797,              0.0005797,              0.0005797
                     21,                0.07722,                0.97083,                      1,                  1.309,             0.00057263,             0.00057263,             0.00057263
